Frequency (Hz)	|Z| (ohms)	Phase of Z (deg)	
0.857695877552032	218240.41220358	-14.323195990929	
0.794328212738037	220970.628423117	-14.6316274945326	
0.73564225435257	223700.052301182	-14.382334988632	
0.681292057037354	226141.782474084	-14.6391543817687	
0.630957365036011	229464.559674337	-14.658735921303	
0.584341406822205	232960.43534788	-14.978339791723	
0.54116952419281	237537.619646853	-14.8302199311862	
0.501187205314636	241027.084666102	-15.0026828783866	
0.464158892631531	243151.8540551	-14.777413507262	
0.429866224527359	246683.851702767	-15.0611946984954	
0.398107171058655	250264.69636359	-14.9413257932222	
0.368694514036179	255694.275618116	-14.9469098456506	
0.341454893350601	257845.223742163	-14.6529315440511	
0.31622776389122	261786.936207461	-14.5106805764311	
0.292864441871643	265394.822827101	-14.844630914909	
0.271227270364761	271075.964574493	-14.531136133192	
0.251188635826111	275069.998841516	-14.4854408653022	
0.232630506157875	276619.279668524	-14.2032810500318	
0.215443462133408	281390.025294617	-14.3935491823835	
0.199526235461235	284811.529172779	-14.1753641017749	
0.184784978628159	289806.357322541	-13.5669159037987	
0.171132832765579	291913.168051677	-13.6771140285397	
0.158489316701889	295675.933213795	-13.4585852412404	
0.146779924631119	301909.572957671	-13.3628971550595	
0.135935634374619	303658.699046805	-12.8087198612984	
0.125892534852028	307334.654171948	-12.5625287106039	
0.116591438651085	311499.133174182	-12.8477868715264	
0.107977516949177	316512.018689156	-12.185642313809	
0.100000001490116	320539.658675676	-11.9999841548469	
